gid	osm_id	code	fclass	name	coordinates
30909	1372787251	4111	peak	Piz Sesvenna	POINT(10.4033022 46.7055039)
30910	1372800550	4111	peak	Piz dals Corvs	POINT(10.4234639 46.7868853)
30911	1374592788	4111	peak	Monte Ferragh	POINT(11.5442532 45.8806542)
30912	1374592800	4111	peak	Monte Spill	POINT(11.5568567 45.8963637)
30913	1374592803	4111	peak	Monte Zomo	POINT(11.5757523 45.8963453)
31341	1375636781	4111	peak	Cima Ekar	POINT(11.5688876 45.8484868)
31342	1375636790	4111	peak	Monte Tondo	POINT(11.5573326 45.8522738)
31343	1375636791	4111	peak	Monte Valbella	POINT(11.580092 45.8689279)
33168	1383453974	4111	peak	Saxendlespitz - Piccola Cima del Sasso	POINT(11.2798636 46.8476732)
33169	1384212498	4111	peak	Monte Bi (Katz)	POINT(11.5098644 45.8947296)
34998	1385122547	4111	peak	Monte Mulaz	POINT(11.8329284 46.3155941)
34999	1385122551	4111	peak	Cima del Focobon	POINT(11.8433515 46.3065063)
35001	1385892233	4111	peak	Pitla Cir - Kleine Cirspitze - Cir V	POINT(11.7997795 46.5567299)
35023	1390603266	4111	peak	Col del Lampo	POINT(11.6231211 45.8324916)
35024	1390603274	4111	peak	Monte Costone	POINT(11.6122204 45.8464422)
35025	1390603275	4111	peak	Monte Lempreche	POINT(11.5843914 45.8244082)
35818	1393597346	4111	peak	Monte dell'Orso	POINT(11.2796713 46.2498888)
35844	1399709503	4111	peak	Upikopf - Monte Upi	POINT(10.7162634 46.7089815)
35850	1401845871	4111	peak	Dosso zovi	POINT(11.4575684 45.8674783)
37126	1402134414	4111	peak	Monte Lemerle	POINT(11.4715648 45.8345668)
37127	1402134417	4111	peak	Monte Roite	POINT(11.4589462 45.8311342)
37498	1406338670	4111	peak	Sopra Conella	POINT(11.3938115 46.1141703)
37515	1412369169	4111	peak	Großer Möseler - Grande Mèsule	POINT(11.781782 46.9924651)
37539	1417512136	4111	peak	Cima Caldenave	POINT(11.5558435 46.1258556)
37540	1417512141	4111	peak	Cima Lasteati	POINT(11.5682732 46.161021)
37541	1417512145	4111	peak	Cima Brunella	POINT(11.5698721 46.1312205)
37542	1417512147	4111	peak	Cima Ravetta	POINT(11.5463715 46.1111552)
37543	1417512149	4111	peak	Cima Socede	POINT(11.5547229 46.1718667)
37544	1417512151	4111	peak	Cima Trento	POINT(11.5697335 46.1296596)
37545	1417512154	4111	peak	Cima del Bortolo	POINT(11.4738672 46.1596593)
37546	1417512156	4111	peak	Cima delle Buse	POINT(11.4980873 46.185741)
37547	1417512158	4111	peak	Cima delle Buse Todesche	POINT(11.5658179 46.1430306)
37548	1417512160	4111	peak	Cima Orsera - Cimon di Val Orsera	POINT(11.5629996 46.1371778)
37549	1417512162	4111	peak	Col Tramenaga	POINT(11.4889809 46.1340351)
37550	1417512165	4111	peak	Col dei Fiori	POINT(11.5359742 46.193196)
37551	1417512167	4111	peak	Col della Palazzina	POINT(11.5366136 46.177734)
37552	1417512169	4111	peak	\N	POINT(11.5455258 46.1536762)
37553	1417512170	4111	peak	Croz di Primalunetta	POINT(11.5361529 46.1238028)
37554	1417512172	4111	peak	Monte Cengello	POINT(11.5660211 46.1536955)
37555	1417512173	4111	peak	Monte Cenon	POINT(11.5290937 46.1260302)
37556	1417512176	4111	peak	Monte Cima	POINT(11.5295959 46.104282)
37557	1417512180	4111	peak	Monte Montalon	POINT(11.5060823 46.1909191)
37558	1417512181	4111	peak	Monte Tauro	POINT(11.5441162 46.1048433)
37559	1417512183	4111	peak	Pala del Becco	POINT(11.4794576 46.1815397)
37560	1417933121	4111	peak	Parggenspitze	POINT(12.3655601 46.7658701)
37561	1417933125	4111	peak	Pürglesgungge	POINT(12.2922561 46.8026359)
37565	1420273178	4111	peak	Hohe Kreuzspitze - Punta Altacroce	POINT(11.2144185 46.8549197)
37573	1423210522	4111	peak	Col de Lasta Picio - Colle di Lasta Piccolo	POINT(12.0525265 46.653167)
37574	1424202627	4111	peak	Weißhorn - Corno Bianco	POINT(11.4437455 46.354387)
37579	1426457945	4111	peak	Col Roigo	POINT(11.777932 45.7893982)
42147	1434128515	4111	peak	Helm - Monte Elmo	POINT(12.3874471 46.7150384)
42153	1436497774	4111	peak	Cima dei Colesei	POINT(12.4212593 46.6428693)
46148	1444370155	4111	peak	Pic - Monte Pic - Pitschberg	POINT(11.7246575 46.5802396)
46159	1446244749	4111	peak	Monte Colac	POINT(11.782724 46.4410262)
46160	1446315676	4111	peak	Crocetta	POINT(11.5120987 45.9272875)
46161	1446390135	4111	peak	Kleines Mandl	POINT(12.1955641 46.8997452)
46162	1446390212	4111	peak	Großes Mandl	POINT(12.1911039 46.9027745)
46163	1446390364	4111	peak	Große Ohrenspitze	POINT(12.1773849 46.9070865)
46164	1446391825	4111	peak	Fenneregg	POINT(12.1678279 46.9332535)
46165	1446392611	4111	peak	Lenkstein	POINT(12.1666389 46.939512)
46166	1446392991	4111	peak	Mulle	POINT(12.1580803 46.9505712)
46167	1446393924	4111	peak	Graunock	POINT(12.1360034 46.9709887)
46168	1446394095	4111	peak	Gstötsch	POINT(12.1370504 46.9735841)
46169	1446394415	4111	peak	Am Hengst	POINT(12.1376021 46.9797131)
46170	1446394653	4111	peak	Großer Reinhard	POINT(12.1263582 46.9978806)
46171	1446395005	4111	peak	Alprechtspitz - Punta di Alpre	POINT(12.12316 47.008434)
46172	1446395251	4111	peak	Lengspitz - Pizzo Lungo	POINT(12.1310303 47.0157137)
46173	1446395781	4111	peak	Kleiner Löffler - Punta Cucchiaio Piccolo	POINT(12.1736012 47.0236792)
46174	1446395940	4111	peak	Merbspitz	POINT(12.1474117 47.0249)
46175	1446396188	4111	peak	Rötspitz	POINT(12.204869 47.0269755)
46176	1446397490	4111	peak	Hoher Rosshuf	POINT(12.2165593 47.0586841)
46177	1446399130	4111	peak	Schüttalkopf	POINT(12.1515446 47.0792788)
46178	1446399610	4111	peak	Grasleitenkopf	POINT(12.2279368 47.0801627)
46179	1446400335	4111	peak	Luckner - Il Picco	POINT(12.2154239 47.0860838)
46180	1446400822	4111	peak	Steinkarspitze - Cima Quadra	POINT(12.1979015 47.0887274)
46181	1446401050	4111	peak	Östlicher Zwillingskopf - Testa Gemella Orientale	POINT(12.1899453 47.0910574)
46182	1446401066	4111	peak	Klockerkarkopf - Vetta d'Italia	POINT(12.1805636 47.0911675)
46187	1447489666	4111	peak	Getrumjoch - Cima Ghetrun	POINT(11.4797344 46.7125342)
46188	1447489783	4111	peak	Corno Bianco	POINT(11.4730075 46.7066806)
46207	1448499306	4111	peak	Gissmanner Nock - Colle della Madonnina	POINT(11.4189396 46.6050368)
46235	1453944196	4111	peak	Rifflspitz	POINT(11.2588183 46.7694558)
46236	1454208790	4111	peak	Cima Busa Alta	POINT(11.6096295 46.2498788)
46285	1456277822	4111	peak	Sas Porcel	POINT(11.7579329 46.435281)
46543	1458900763	4111	peak	Hörneckele	POINT(12.2076087 46.8185742)
46550	1459164186	4111	peak	Durakopf	POINT(12.1291006 46.8028008)
46711	1468628183	4111	peak	Mesolina	POINT(11.8869791 46.4650544)
46847	1472383815	4111	peak	Hochwart - Guardia Alta	POINT(11.1961343 46.8519462)
46884	1475433852	4111	peak	Nemesis	POINT(12.0524572 46.5554886)
46941	1484835722	4111	peak	Schaufler	POINT(11.9323599 47.0012449)
46953	1488927937	4111	peak	Monte Maio	POINT(11.2472759 45.8107583)
46956	1489426274	4111	peak	Tamazol	POINT(11.2592308 45.9708781)
47330	1520387503	4111	peak	Punta Anna	POINT(12.0713176 46.5399521)
49357	1524772258	4111	peak	Große Windschar - Cima del Vento	POINT(12.0169574 46.8897503)
49358	1524813586	4111	peak	Gelttalspitze - Cima Valfredda	POINT(12.0830935 46.8966304)
49359	1524813591	4111	peak	Kleine Windschar - Piccola Cima del Vento	POINT(12.0097872 46.8905983)
50264	1534554099	4111	peak	Fleischbachspitze	POINT(12.1627125 46.9582289)
50293	1538301051	4111	peak	Piz Meda	POINT(11.690552 46.3789381)
50824	1547038548	4111	peak	Stoanamandl	POINT(11.599938 46.8332202)
52531	1559533272	4111	peak	Monte Avena	POINT(11.8225278 46.0312553)
52543	1563100632	4111	peak	Bedolé	POINT(11.8029481 46.1837619)
52544	1563100645	4111	peak	Cima Redasega	POINT(11.7806541 46.1642942)
52620	1577463285	4111	peak	Col San Lorenzo	POINT(11.8118061 45.7929255)
52621	1577463286	4111	peak	Colle Balliana	POINT(11.8067521 45.7920444)
52622	1577463288	4111	peak	La Rocca	POINT(11.7735796 45.8001495)
52623	1577463292	4111	peak	Monte Castellaro	POINT(11.7936285 45.7913617)
52624	1577463293	4111	peak	Monte Gallo	POINT(11.7966802 45.7857505)
54959	1582890164	4111	peak	Monte Cornella	POINT(11.9215525 45.9289786)
55066	1590535203	4111	peak	Monte Caina	POINT(11.6919917 45.8113105)
55067	1590535204	4111	peak	Monte Campesana	POINT(11.6947864 45.800659)
55069	1590535211	4111	peak	\N	POINT(11.7034332 45.7868635)
55071	1590551593	4111	peak	Monte Bastia	POINT(11.722833 45.8085276)
55072	1590551599	4111	peak	Monte La Gusella	POINT(11.7392163 45.8117865)
55073	1590551602	4111	peak	Monte Nosellari	POINT(11.7392088 45.8229151)
55262	1593897183	4111	peak	Kienberg - Monte Abete	POINT(11.8587939 46.7802121)
55263	1593897200	4111	peak	Kühbergl - Monte Spalliera	POINT(11.9369864 46.7880574)
55802	1594462493	4111	peak	Cima Pontara	POINT(11.3338857 46.1472075)
56025	1595407897	4111	peak	Cima di Palù	POINT(11.386078 46.143583)
