id,name,city,latitude,longitude,address
bus_stop3085,Villazzano Giordano,Trento,46.050679,11.148461,"19, Via Umberto Giordano, Negrano, Villazzano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3086,Villazzano Giordano,Trento,46.050736,11.148323,"19, Via Umberto Giordano, Negrano, Villazzano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3087,Mattioli Vittorio Veneto,Trento,46.058839,11.122518,"Mattioli / Vittorio Veneto, Via Pietro Andrea Mattioli, Clarina, San Giuseppe, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3088,Menguzzato Al Casteller,Trento,46.038223,11.134505,"Via Clorinda Veglia Menguzzato, Madonna Bianca, Oltrefersina, San Rocco, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3089,"Menguzzato ""Centro Civico""",Trento,46.04045,11.131687,"Menguzzato / ""Centro civico"", Via Clorinda Veglia Menguzzato, Madonna Bianca, Oltrefersina, San Rocco, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3090,"Menguzzato ""Centro Civico""",Trento,46.040108,11.132067,"Menguzzato / ""Centro civico"", Via Clorinda Veglia Menguzzato, Madonna Bianca, Oltrefersina, San Rocco, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3091,Menguzzato Al Casteller,Trento,46.038106,11.134132,"Menguzzato / al Casteller, Via Clorinda Veglia Menguzzato, Madonna Bianca, Oltrefersina, San Rocco, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
bus_stop3092,Milano A Prato,Trento,46.060791,11.127599,"Via Milano, Bolghera, Piedicastello, Villazzano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
bus_stop3093,Milano A Prato,Trento,46.060724,11.127668,"48, Via Milano, Bolghera, Piedicastello, Villazzano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3094,Missioni Africane,Trento,46.076761,11.128226,"Via delle Missioni Africane, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
