id;address;city;name;latitude;longitude
gas_28;Api-Ip, Via Resia - Reschenstraße, Don Bosco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia;Bolzano - Bozen;Api-Ip;46.492501;11.315346
gas_29;ENI, Via Maso della Pieve - Pfarrhofstraße, Oltrisarco - Oberau, Oltrisarco-Aslago - Oberau-Haslach, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia;Bolzano - Bozen;ENI;46.4773853;11.3382211
gas_30;Total, Via Merano - Meraner Straße, Moritzing - San Maurizio, Gries-San Quirino - Gries-Quirein, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia;Bolzano - Bozen;Total;46.5038314;11.2960402
gas_31;Q8, Brennerstraße - Via Brennero, Löwenviertel - Quartiere Leone, Neustift - Novacella, Vahrn - Varna, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;Neustift - Novacella;Q8;46.7330616;11.6496936
gas_32;Eni, 4, Umfahrungsstraße - Strada di Circonvallazione, St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia;St. Michael - San Michele;Eni;46.456663;11.2688435
gas_33;Esso, Nationalstraße - Via Nazionale, Auer - Ora, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;Auer - Ora;Esso;46.3537045;11.3110555
gas_34;San Marco Petroli, 29, Via John Fitzgerald Kennedy - John-Fitzgerald-Kennedy-Straße, Pineta - Steinmannwald, Laives - Leifers, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39055, Italia;Pineta - Steinmannwald;San Marco Petroli;46.428582;11.342156
gas_35;Esso, Statale Valsugana, Fornaci, Susà, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;Susà;Esso;46.0581489;11.2311168
gas_36;Stazione di servizio GNP - Calceranica, 44, Corso degli Alpini, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia;Calceranica al Lago;Stazione di servizio GNP - Calceranica;46.0010443;11.2459132
gas_37;Delta Energy, Corso degli Alpini, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia;Calceranica al Lago;Delta Energy;46.0037325;11.2439009
gas_38;Stazione di servizio GNP - Santa Geltrude, 32, Via Santa Geltrude - St.-Gertraud-Weg, Aslago - Haslach, Oltrisarco-Aslago - Oberau-Haslach, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia;Bolzano - Bozen;Stazione di servizio GNP - Santa Geltrude;46.4872555;11.3476967
gas_39;Esso, Via Giuseppe Verdi, Fontana, Asiago, Vicenza, Veneto, 36012, Italia;Asiago;Esso;45.872052;11.500943
gas_40;Total, Viale degli Autieri d'Italia, Santa Maria Maddalena, Asiago, Vicenza, Veneto, 36012, Italia;Asiago;Total;45.8691709;11.5146179
gas_41;Agip, Via Campiello, Tresche' Conca, Roana, Vicenza, Veneto, Italia;Tresche' Conca;Agip;45.837172;11.43209
gas_42;Esso-Tankstelle, Pustertaler Straße - Via Pusteria, Innichen - San Candido, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39038, Italia;Innichen - San Candido;Esso-Tankstelle;46.7304945;12.2662862
gas_43;Sia Fuel, Via Vittorio Veneto, Pedecol, Brunelli di sopra, Paderno del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia;Paderno del Grappa;Oil Italia;45.8239766;11.8608861
gas_44;Esso, Via Bagnols sur Ceze, Traversère, Borgo Uniera, Feltre, Belluno, Veneto, 32032, Italia;Feltre;Esso;46.0214932;11.9059386
gas_45;Q8, Via Belluno, Pasquer, Zermen, Feltre, Belluno, Veneto, 32032, Italia;Zermen;Q8;46.0243957;11.9249508
gas_46;Repsol, Via Culiada, Quattrosassi, Borgo Porta, Mugnai, Feltre, Belluno, Veneto, 32032, Italia;Mugnai;Repsol;46.014593;11.874332
gas_47;Q8, Via Dante Alighieri, Peschiera, Farra, Feltre, Belluno, Veneto, 32032, Italia;Feltre;Q8;46.018679;11.8898804
gas_48;Repsol, Via Schiavonesca Marosticana, Cà Vescovo, Borgo Polo, Cà Giupponi, Asolo, Fonte, Treviso, Veneto, 31011, Italia;Cà Giupponi;Repsol;45.7892865;11.9073112
gas_49;Tamoil, Via Asolana, La Cengia, Crespano del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia;Crespano del Grappa;Tamoil;45.8176852;11.8460823
gas_50;Esso, Via Bertoldi, Villaggio Móar, Azzolini, Gionghi, Lavarone, Magnifica Comunità degli Altipiani Cimbri, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38046, Italia;Gionghi;Esso;45.9409686;11.2677353
gas_51;IES, Strada Provinciale della Valle dell'Astico, Forni, Pedescala, Valdastico, Vicenza, Veneto, 36011, Italia;Pedescala;IES;45.8875;11.353056
gas_52;Ip, Via 14 Agosto 1866, Zuecca, Borgo Tezze, Feltre, Belluno, Veneto, 32032, Italia;Feltre;Ip;46.0183098;11.8997542
gas_53;IP, Via Feltrina, Borgo Ruga, Anzù, Feltre, Belluno, Veneto, 32032, Italia;Anzù;IP;46.008889;11.9329415
gas_54;Tamoil, Via Trevigiana, Quartiere Regina Margherita, Borgo Sant'Avvocato, Villaga, Feltre, Belluno, Veneto, 32032, Italia;Villaga;Tamoil;46.0144151;11.9106807
