index,address,city,name,latitude,longitude
cave_27,"Grotta 2 dei Briganti, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta 2 dei Briganti,45.9923382,11.60155
cave_28,"Grotta 2 delle Beccarie, Strada della Marcesina - Die Barricata Straße, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta 2 delle Beccarie,46.0047243,11.6077737
cave_29,"Grotta 2 delle sabbie, Strada forestale Albarea bassa, Lissa, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Pieve Tesino,Grotta 2 delle sabbie,46.0792562,11.6211941
cave_30,"Grotta a Est di Malga Valfontane, Strada forestale Val Fontane, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Grotta a Est di Malga Valfontane,46.1048374,11.6684958
cave_31,"Grotta a Sud di Malga Zanca, Strada forestale Tonarezza di Sopra, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Grotta a Sud di Malga Zanca,46.1117755,11.6915587
cave_32,"Grotta dei Camosci, Strada della Marcesina - Die Barricata Straße, Selva di Grigno, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta dei Camosci,46.0095685,11.5896134
cave_33,"Grotta dei Due Ingressi, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta dei Due Ingressi,46.0056723,11.5854543
cave_34,"Grotta dei Soeri, Strada della Marcesina - Die Barricata Straße, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta dei Soeri,46.0073382,11.6115525
cave_35,"Grotta del Calgeron, Sentiero grotte Calgeron, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta del Calgeron,46.0074146,11.6192771
cave_36,"Grotta del Colo, sentiero per Grotta del Colo, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Pieve Tesino,Grotta del Colo,46.0893491,11.6150992
cave_37,"Grotta del Corvo, Via Pertega, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta del Corvo,46.0088652,11.6171894
cave_38,"Grotta del Muschio, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta del Muschio,46.0053932,11.5854542
cave_39,"Grotta del Salto, Via Pertega, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta del Salto,46.0086712,11.6178003
cave_40,"Grotta del Soffio, Strada della Marcesina - Die Barricata Straße, Selva di Grigno, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta del Soffio,46.0063165,11.5944989
cave_41,"Grotta dell' Asenaro, Strada forestale Albarea bassa, Lissa, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Pieve Tesino,Grotta dell Asenaro,46.0776146,11.6209918
cave_42,"Grotta dell' Orso, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta dell Orso,46.0063111,11.5862591
cave_43,"Grotta della Bigonda, Strada della Marcesina - Die Barricata Straße, Ospedaletto, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Ospedaletto,Grotta della Bigonda,46.0181626,11.5809973
cave_44,"Grotta della Fosca, Strada forestale Vallunga, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Grotta della Fosca,46.1340042,11.726276
cave_45,"Grotta della Porta, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta della Porta,46.0042871,11.5901815
cave_46,"Grotta della Volpe, Strada forestale Vallunga, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Grotta della Volpe,46.1339999,11.7268325
cave_47,"Grotta delle Taie, Strada della Bigonda, Ospedaletto, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Ospedaletto,Grotta delle Taie,46.0160877,11.5668209
cave_48,"Grotta dello Sbircio, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Grotta dello Sbircio,46.0053976,11.5868494
cave_49,"Grotta di Castel Tesino, Strada forestale Prapezzè, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Castello Tesino,Grotta di Castel Tesino,46.0885855,11.6814614
cave_50,"Grotta di Ernesto, Strada forestale Val d'Antenne, Case Celeste, Tezze Valsugana, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Grotta di Ernesto,45.9781115,11.6563377
cave_51,"Grotta di Gange, sentiero per Grotta del Colo, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Pieve Tesino,Grotta di Gange,46.088176,11.6136137
cave_52,"Grotta di Lissa, Sentiero di Passugola, Lissa, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Grotta di Lissa,46.0752538,11.6298901
cave_53,"Grotticella alla Casera Spessa, SP79, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Castello Tesino,Grotticella alla Casera Spessa,46.1290196,11.6935898
cave_54,"Miniera dell'Aubis, Hosler, Mitterpèrg - San Felice, Fierozzo - Vlarotz, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Fierozzo,Miniera dellAubis,46.1119712,11.3132041
cave_55,"Postazione Austriaca 1915/1918, Mulattiera militare, Fioré, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia",Baselga di Pine,Postazione Austriaca 1915 1918,46.1162799,11.2767013
cave_56,"Pozzo Alessandro, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo Alessandro,45.9874651,11.5997844
cave_57,"Pozzo dei Caprioli, Strada forestale Costalta Valvacchetta, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Pozzo dei Caprioli,45.9995587,11.6097407
cave_58,"Pozzo dei Cinque, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo dei Cinque,45.9906656,11.586827
cave_59,"Pozzo del dragone, Strada forestale Val Fontane, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Pozzo del dragone,46.099319,11.6654641
cave_60,"Pozzo della Saetta, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo della Saetta,46.0063131,11.582591
cave_61,"Pozzo della Scura, Strada forestale Laghetti, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo della Scura,45.9817768,11.5918221
cave_62,"Pozzo della Singala, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo della Singala,46.004733,11.5879808
cave_63,"Pozzo dello sciamano, Strada forestale Costalta Valvacchetta, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Pozzo dello sciamano,45.9981143,11.6055919
cave_64,"Pozzo Dogomale, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo Dogomale,46.0008889,11.5940213
cave_65,"Pozzo Lares, Strada forestale Val Fontane, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Pozzo Lares,46.1000236,11.6622636
cave_66,"Pozzo Nicola, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Pozzo Nicola,46.0056058,11.579946
cave_67,"Riparo Dalmeri, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Grigno,Riparo Dalmeri,45.9951297,11.6016642
cave_68,"Risorgiva di Val Noana, Val Caora, Imer, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Imer,Risorgiva di Val Noana,46.1306614,11.8131647
cave_69,"Sorgente di Malga Arpaco, Strada forestale Tonarezza di Sopra, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Sorgente di Malga Arpaco,46.1116924,11.6988921
cave_70,"Sorgente Ferrugginosa, Strada Forestale ""Costalta"", Fovo alto, Rizzolaga, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia",Baselga di Pine,Sorgente Ferrugginosa,46.1300562,11.2764748
cave_71,"Stoli, Via Di Sopra, Mezzano, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",Mezzano,Stoli,46.1557093,11.8038808
cave_72,"Stoli, Via Di Sopra, Mezzano, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",Mezzano,Stoli,46.1558973,11.8045149
cave_73,"Tana trifoglio, Strada forestale Val Caora Bassa, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Tana trifoglio,46.1198483,11.722432
cave_74,"Uvada, Strada forestale Gorgantile, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Uvada,46.1065615,11.6613364
