id,name,city,latitude,longitude,address
train_station29,Lavis,Lavis,46.148216,11.0962279,Lavis Pressano Lavis Comunità  Rotaliana-Königsberg Provincia di Trento Trentino-Alto Adige/Südtirol38015 Italia
train_station30,Mezzocorona Ferrovia,Mezzocorona Ferrovia,46.206386,11.1272011,Mezzocorona Ferrovia Mezzocorona Comunità  Rotaliana-Königsberg Provincia di Trento Trentino-Alto Adige/Südtirol38016 Italia
train_station31,Lavis,Lavis,46.140024,11.1061184,Lavis Felti Pressano Lavis Comunità  Rotaliana-Königsberg Provincia di Trento Trentino-Alto Adige/Südtirol38015 Italia
train_station32,Cles,Cles,46.364454,11.0388699,Cles Pez Maiano Cles Comunità  della Val di Non Provincia di Trento Trentino-Alto Adige/Südtirol38023 Italia
train_station33,Tassullo,Ville d'Anaunia,46.341301,11.0538621,Tassullo Campo Tassullo Ville d'Anaunia Comunità  della Val di Non Provincia di Trento Trentino-Alto Adige/Südtirol38012 Italia
train_station34,Bozzana,Bozzana,46.387344,10.9847443,Bozzana Bordiana Caldes Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol38022 Italia
train_station35,Mostizzolo,Mostizzolo,46.394815,11.0100891,Mostizzolo Viar Cis Comunità  della Val di Non Provincia di Trento Trentino-Alto Adige/Südtirol38023 Italia
train_station36,Strigno,Stazione di Strigno,46.051185,11.5144411,Stazione di Strigno Villa Castel Ivano Comunità  Valsugana e Tesino Provincia di Trento Trentino-Alto Adige/Südtirol38059 Italia
train_station37,Tezze di Grigno,Tezze di Grigno,45.990410,11.6696124,Tezze di Grigno Masi Orne Tezze Valsugana Grigno Comunità  Valsugana e Tesino Provincia di Trento Trentino-Alto Adige/Südtirol38055 Italia
train_station38,Grigno,Grigno,46.015336,11.6249743,Grigno Grigno Comunità  Valsugana e Tesino Provincia di Trento Trentino-Alto Adige/Südtirol38055 Italia
train_station39,Borgo Valsugana Est,Centro intermodale di Borgo Valsugana,46.052406,11.4638678,Centro intermodale di Borgo Valsugana Olle Borgo Valsugana Comunità  Valsugana e Tesino Provincia di Trento Trentino-Alto Adige/Südtirol38051 Italia
train_station40,Bastione,Bastione,45.884655,10.8360422,Bastione Riva del Garda Comunità  Alto Garda e Ledro Provincia di Trento Trentino-Alto Adige/Südtirol38066 Italia
train_station41,Borghetto sull'Adige,Borghetto sull'Adige,45.696893,10.9271072,Borghetto sull'Adige Borghetto Avio Comunità  della Vallagarina Provincia di Trento Trentino-Alto Adige/Südtirol38063 Italia
train_station42,Riva del Garda,Ascensore panoramico Bastione,45.884171,1.0837883,Ascensore panoramico Bastione Riva del Garda Comunità  Alto Garda e Ledro Provincia di Trento Trentino-Alto Adige/Südtirol38066 Italia
train_station43,Malè,Malè,46.353582,10.9170884,Malè Pondasio Malè Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol38027 Italia
train_station44,Terzolas,Terzolas,46.358129,10.9256954,Terzolas Terzolas Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol38027 Italia
train_station45,Caldes,Caldes,46.366194,10.9455518,Caldes Samoclevo Caldes Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol38022 Italia
train_station46,Mezzana,Mezzana,46.313511,10.8014777,Mezzana Marilleva 900 Marilleva Mezzana Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol Italia
train_station47,Dimaro,Dimaro,46.328952,10.8727325,Dimaro - Dimaro Dimaro Folgarida Comunità  della Valle di Sole Provincia di Trento Trentino-Alto Adige/Südtirol38025 Italia
