id,address,name,latitude,longitude,city
gas_29,"Esso, Viale Piave, Pieve, Transacqua, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",Esso,46.1725942,11.8262312,region_52
gas_30,"Costantin, Via Spolverine, Zivignago, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia",Costantin,46.0649368,11.2465507,region_125
gas_31,"IP, Via Guido Donegani - Strada Provinciale del Lago di Caldonazzo, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia",IP,46.0057698,11.2413397,region_87
gas_32,"Viale 4 Novembre, Fadana, Cembra, Cembra Lisignago, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38041, Italia",Stazione di servizio petrol villa,46.1766307,11.2236794,region_100
gas_33,"Total, Viale Trento, Caldonazzo, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia",Total,45.9965856,11.2591767,region_89
gas_34,"Agip Eni, Via Roma, Tressane, Tonadico, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",Eni Station,46.1819951,11.8315714,region_52
gas_35,"Tamoil, Stradon de Fascia, Soraga, Soraga di Fassa, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",Tamoil Carburante,46.3985829,11.6691938,region_146
gas_36,"Loro, Via Claudia Augusta, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia",Loro,46.0041565,11.2895201,region_34
gas_37,"Agip Eni, Via Trento, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38033, Italia",Camello Service di dellasega riccardo,46.2907639,11.4545815,region_21
gas_38,"Eni, Via Fiamme Gialle, Pè de Pardàc, Coste, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",Eni,46.304635,11.5951134,region_55
gas_39,"Agip, Strada de la Comunità de Fiem, Sorte, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Agip,46.3666461,11.6495876,region_47
gas_40,"Stazione di servizio GNP - Daiano, 61, Via San Tommaso, Daiano, Ville di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",Stazione di servizio GNP - Daiano,46.2999783,11.4516847,region_164
gas_41,"Repsol, Via della Palanca, Castellare, Pagela, Scurelle, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38059, Italia",Tamoil,46.0623539,11.5009876,region_62
gas_42,"Località Nale, Nale, Longhini, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38051, Italia",San Marco Petroli,46.0692949,11.482645,region_72
gas_43,"SP78, Molini, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Distributore carburanti Pasqualin,46.0686516,11.6255111,region_17
gas_44,"Stazione di servizio GNP - Castel Ivano, 10, Strada del Tesino, Sièga, Villa, Castel Ivano, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38059, Italia",Stazione di servizio GNP - Castel Ivano,46.0594408,11.5217891,region_16
gas_45,"Esso, Via Roma, Maso Rigo, Olle, Borgo Valsugana, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38051, Italia",Esso,46.0512163,11.4453172,region_82
gas_46,"IP, Strada Rezia, Vigo di Fassa - Vich, Costa, San Giovanni di Fassa - Sèn Jan, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38036, Italia",IP,46.4199221,11.6715412,region_64
gas_47,"Cristoforetti, SS48, La Bìra, Mezzavalle, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",Distributore carburanti con GPL,46.338358,11.6103631,region_55
gas_48,"Tamoil, Viale Brigata Abruzzi, Bosco Santa Maria, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Tamoil,46.0678896,11.6124172,region_53
gas_49,"Esso, Via Trieste, Chiesa, Gionghi, Lavarone, Magnifica Comunità degli Altipiani Cimbri, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38046, Italia",Esso Lavarone Chiesa,45.9393606,11.2542889,region_38
gas_50,"Via Fiamme Gialle, Pè de Pardàc, Coste, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",\N,46.3057264,11.5971248,region_55
gas_51,"Stazione di servizio GNP - Castelnuovo, Strada Statale 47 della Valsugana, Perozzi, Spagolle, Castelnuovo, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia",Stazione di servizio GNP - Castelnuovo,46.0490555,11.4752656,region_18
