gid	osm_id	code	fclass	name	coordinates
35757	1392742572	4132	cave_entrance	\N	POINT(11.4579192 45.8927969)
35759	1392742656	4132	cave_entrance	\N	POINT(11.4699119 45.8930439)
35788	1392743869	4132	cave_entrance	\N	POINT(11.4686789 45.8953397)
35855	1401845967	4132	cave_entrance	\N	POINT(11.4730136 45.8492705)
36701	1401860001	4132	cave_entrance	\N	POINT(11.460483 45.8651287)
36784	1401861118	4132	cave_entrance	\N	POINT(11.4874238 45.8669834)
37371	1402142048	4132	cave_entrance	\N	POINT(11.4653946 45.8474604)
37372	1402142049	4132	cave_entrance	\N	POINT(11.465396 45.8474608)
61654	1612932902	4132	cave_entrance	Speluga Fondi	POINT(11.4914135 45.8018559)
61670	1612933088	4132	cave_entrance	\N	POINT(11.4884712 45.8055691)
61673	1612933123	4132	cave_entrance	\N	POINT(11.4891823 45.8057664)
61679	1612933195	4132	cave_entrance	\N	POINT(11.4911593 45.8062024)
61719	1612933698	4132	cave_entrance	\N	POINT(11.4584736 45.8090071)
61732	1612933863	4132	cave_entrance	\N	POINT(11.4635656 45.8102127)
61733	1612933870	4132	cave_entrance	\N	POINT(11.4639545 45.810368)
61739	1612934207	4132	cave_entrance	\N	POINT(11.4735196 45.8136929)
61740	1612934293	4132	cave_entrance	\N	POINT(11.4778146 45.8142868)
61741	1612934302	4132	cave_entrance	\N	POINT(11.4791516 45.814335)
61742	1612934342	4132	cave_entrance	\N	POINT(11.4636572 45.8181652)
61743	1612934346	4132	cave_entrance	\N	POINT(11.4837563 45.8202681)
61744	1612934350	4132	cave_entrance	\N	POINT(11.4837527 45.8202686)
61745	1612934352	4132	cave_entrance	\N	POINT(11.4936066 45.8214333)
61746	1612934353	4132	cave_entrance	\N	POINT(11.4961318 45.8225598)
75017	1789891616	4132	cave_entrance	Elisabethstollen	POINT(11.5430177 46.6544607)
78237	1836348421	4132	cave_entrance	\N	POINT(11.8751282 46.4700023)
79056	1848848050	4132	cave_entrance	\N	POINT(11.6667427 46.1248838)
79691	1883466566	4132	cave_entrance	Tschetter Loch	POINT(11.5645018 46.4825593)
